covariate_mode,meal_type,model,quantile_tau,treat_offset,minutes,n_obs,ACME,ACME_lower,ACME_upper,ACME_p,ADE,ADE_lower,ADE_upper,ADE_p,total_effect,total_lower,total_upper,total_p,prop_mediated,m_resid_skew,m_resid_kurt,m_shapiro_p,y_resid_skew,y_resid_kurt,y_shapiro_p
pca,ALL,lmer,,30.0,190.0,190.0,-7.12526856361018,-14.037801985948962,0.0604622639087657,0.052,11.68027433730498,2.5468702788426083,21.284135817426208,0.016,4.555005773694799,-2.293957294982184,11.159321023266443,0.188,-1.5642721255719745,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.2747718136071265,0.8110153090206818,0.0524320878664708
pca,ALL,lmer,,30.0,195.0,190.0,-7.205323527941663,-14.132852256451256,-0.1221330407384571,0.044,12.159787269121148,2.8829589753275995,21.5230420963019,0.014,4.9544637411794845,-1.5948468433932337,11.765282944286575,0.132,-1.4543094680568451,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.27322078367549,0.7341626907329415,0.065589679270561
pca,ALL,lmer,,30.0,200.0,190.0,-6.0579843532559465,-12.908610809001642,0.8133990719688667,0.076,11.43212372354347,2.025838150822968,20.469483342121485,0.024,5.374139370287522,-1.1029645267968309,11.501224855484304,0.116,-1.1272473480589764,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.2867737167790483,0.751637092087377,0.0842616212978096
pca,ALL,lmer,,30.0,205.0,190.0,-5.596348658543097,-12.30680704595199,1.6112260061393546,0.108,11.422744893201768,2.036472736090017,21.10331389737967,0.018,5.82639623465867,-0.7008333976627416,12.3102147734956,0.092,-0.960516318003379,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.3337172088257688,0.8339449505611589,0.0509349984429979
pca,ALL,lmer,,30.0,210.0,190.0,-5.680423404638468,-12.932068979615462,1.2621358162474117,0.102,11.772900212642154,2.1501485207451343,21.4482273687939,0.032,6.092476808003687,-0.5584367824103981,12.879831726130565,0.068,-0.9323668490910126,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.4050558011792536,0.9560809376938412,0.0236180538603344
pca,ALL,lmer,,45.0,60.0,190.0,-6.170538377843351,-13.52151459709287,0.8273941099953727,0.102,10.237188745493336,1.440506314974231,19.114516960253088,0.028,4.066650367649985,-2.8454413764043176,10.868479698724196,0.248,-1.5173515842251148,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.3574465941709229,0.2914923997844374,0.1098467699070757
pca,ALL,lmer,,45.0,65.0,190.0,-7.2124630090383715,-14.816083307264572,0.7975917943818094,0.074,11.719850332874486,1.4176807476484092,22.32115465048453,0.02,4.507387323836114,-2.346282216525655,11.590559218534112,0.22,-1.6001427192416298,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.439204599739584,0.5177610137034985,0.0441899809735929
pca,ALL,lmer,,45.0,70.0,190.0,-8.29295963917784,-16.525235084928365,-0.3528981734028855,0.044,13.329562151791038,3.037576193165144,23.3934205184859,0.012,5.036602512613198,-2.7051758845191074,12.662668586354078,0.204,-1.64653843903896,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.4102784783749342,0.5344335223434911,0.0445591340410625
pca,ALL,lmer,,45.0,75.0,190.0,-9.974309495842562,-18.897716226230273,-1.566503008773244,0.02,15.491243707001654,4.111753591214543,27.22566277285752,0.002,5.516934211159093,-2.7354631171561157,13.367822354109894,0.166,-1.807944252020904,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.3302014253794183,0.4233704523472452,0.1722358932450332
pca,ALL,lmer,,45.0,80.0,190.0,-11.373896271693155,-20.376596015470348,-2.030151940751338,0.02,17.405483377709746,4.6064898014227476,29.153124061111747,0.002,6.031587106016589,-2.4978275133859547,14.349625488869831,0.184,-1.8857219620268009,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.2457780144002702,0.2783079777775792,0.572074401725202
pca,ALL,lmer,,45.0,85.0,190.0,-11.41345807702025,-21.520681343176655,-2.6607056801913975,0.018,18.155118529153835,5.768209632148733,30.320311966344157,0.008,6.741660452133587,-1.4257288226183598,15.090656070906556,0.112,-1.6929743285140002,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.1732814167851444,0.0844387957982708,0.7708530353048797
pca,ALL,lmer,,45.0,90.0,190.0,-11.84608417998797,-21.607173392279588,-2.57010410836915,0.012,19.169934711333024,6.69341036130797,31.187712052163736,0.002,7.323850531345055,-1.221775197346575,16.438136330953196,0.102,-1.6174666767554018,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.1506481370143536,-0.0002258153848027078,0.7809678344703121
pca,ALL,lmer,,45.0,95.0,190.0,-12.73932243682064,-22.49815454396359,-3.74913209467879,0.006,20.180620643582294,7.394687549351812,32.86260695669086,0.002,7.441298206761654,-1.4037990417732358,16.437543478428307,0.114,-1.7119757981537218,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.1267967905236516,0.0173176332997515,0.9178284203178704
pca,ALL,lmer,,45.0,100.0,190.0,-12.487141785039992,-22.661118030109417,-3.1488737894169967,0.006,19.69900906763295,6.7142111984657165,32.75333323328724,0.002,7.21186728259296,-1.759331538524718,16.279857350762352,0.112,-1.7314713784569753,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.1302963826076934,0.0649348484194516,0.8290076029765889
pca,ALL,lmer,,45.0,105.0,190.0,-13.03505025828139,-22.923517943342677,-3.2686907631096283,0.008,20.222238863312025,7.226206841996221,33.934632736159344,0.004,7.187188605030632,-2.3154857202388146,17.011619056122367,0.128,-1.813650785392995,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.1006678647251727,0.0267083203561457,0.7926193474499268
